tau1,tau2,tau3,tau4,tau5,tau6
-6.81223966125799e-11,-3.552713678800501e-15,3.552713678800501e-15,6.8833827526759706e-15,8.881784197001252e-16,-7.268491364342822e-16
2.2950974454261086e-11,2.1316282072803006e-14,-1.7763568394002505e-14,-1.0547118733938987e-14,-3.1086244689504383e-15,1.915134717478395e-15
3.518829672088941e-11,-2.4868995751603507e-14,1.7763568394002505e-14,1.2989609388114332e-14,4.440892098500626e-15,-2.3696322681843185e-15
-1.8340884366807586e-12,4.618527782440651e-14,-2.842170943040401e-14,-1.3766765505351941e-14,-9.325873406851315e-15,3.7921055184853e-15
3.894395916859139e-11,-8.526512829121202e-14,5.684341886080802e-14,2.2870594307278225e-14,1.6431300764452317e-14,-6.238065619612598e-15
-1.9984014443252818e-13,-5.3290705182007514e-14,3.197442310920451e-14,2.2426505097428162e-14,1.0658141036401503e-14,-3.1780134079895106e-15
1.1303757929681524e-10,-2.4868995751603507e-14,2.4868995751603507e-14,9.43689570931383e-15,7.105427357601002e-15,-1.8925833122906965e-15
1.0998801869277486e-10,-2.913225216616411e-13,1.9184653865522705e-13,1.0680345496894006e-13,6.661338147750939e-14,-1.6389667401028873e-14
1.308504415931111e-10,-4.973799150320701e-14,3.197442310920451e-14,1.7430501486614958e-14,1.2434497875801753e-14,-2.7044338990478423e-15
-1.5421885990463124e-11,-1.2434497875801753e-13,9.237055564881302e-14,4.5852210917018965e-14,3.1530333899354446e-14,-5.7419347054832315e-15
9.14699427312371e-11,7.389644451905042e-13,-5.222489107836736e-13,-2.958744360626042e-13,-1.851852005074761e-13,2.9519789390697326e-14
-1.0956835438946655e-10,-3.161915174132446e-13,2.2382096176443156e-13,1.2878587085651816e-13,7.949196856316121e-14,-1.058875209736243e-14
-8.643885607284574e-11,4.796163466380676e-13,-3.410605131648481e-13,-2.0228263508670352e-13,-1.2523315717771766e-13,1.2960119089022726e-14
-1.326672105506077e-10,3.552713678800501e-15,-7.105427357601002e-15,-1.5543122344752192e-15,-1.7763568394002505e-15,-5.0306980803327406e-17
7.133760249189436e-11,-6.323830348264892e-13,4.725109192804666e-13,2.7633451082920146e-13,1.794120407794253e-13,-8.998010669891698e-15
1.006972283335017e-11,4.689582056016661e-13,-3.446132268436486e-13,-2.1049828546892968e-13,-1.3500311979441904e-13,3.415670524198333e-15
-2.194666670618517e-10,-1.8687273950490635e-12,1.4033219031261979e-12,8.523182160047327e-13,5.568878691519785e-13,-6.2363308961366215e-16
5.490186083534354e-11,4.583000645652646e-13,-3.517186542012496e-13,-2.1505019986989282e-13,-1.389999226830696e-13,-3.0678584672649833e-15
-4.658362584564202e-11,6.821210263296962e-13,-5.258016244624741e-13,-3.2229774404868294e-13,-2.1449508835758024e-13,-9.419548474554063e-15
-4.32365254710021e-12,-9.592326932761353e-14,7.460698725481052e-14,4.529709940470639e-14,2.930988785010413e-14,1.8682971836270212e-15
7.786216116301148e-12,-4.121147867408581e-13,-4.583000645652646e-13,-2.864375403532904e-13,-1.9229062786507711e-13,-1.6726203755368374e-14
1.208213529224622e-10,3.552713678800501e-14,-4.973799150320701e-14,-3.341771304121721e-14,-2.353672812205332e-14,-2.275957200481571e-15
-1.0176837150766005e-10,6.394884621840902e-14,-8.881784197001252e-14,-5.295763827461997e-14,-3.952393967665557e-14,-4.90059381963448e-15
2.010591693135666e-11,1.0302869668521453e-13,-1.5276668818842154e-13,-9.636735853746359e-14,-6.661338147750939e-14,-9.572204140440022e-15
-1.6678658454338802e-11,2.4868995751603507e-13,-3.659295089164516e-13,-2.3658852654762086e-13,-1.6342482922482304e-13,-2.6271519681930755e-14
-1.041332575724141e-10,-1.2434497875801753e-13,1.8118839761882555e-13,1.1213252548714081e-13,8.171241461241152e-14,1.444070557576893e-14
